Title,Price (£),Availability
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock
Set Me Free,17.46,In stock
In Her Wake,12.84,In stock
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock
Sophie's World,15.94,In stock
Maude (1883-1993):She Grew Up with the country,18.02,In stock
"In a Dark, Dark Wood",19.63,In stock
Untitled Collection: Sabbath Poems 2014,14.27,In stock
Unicorn Tracks,18.78,In stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock
This One Summer,19.49,In stock
Thirst,17.27,In stock
The Torch Is Passed: A Harding Family Story,19.09,In stock
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,In stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,In stock
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock
"Pop Gun War, Volume 1: Gift",18.97,In stock
Patience,10.16,In stock
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock
On a Midnight Clear,14.07,In stock
Obsidian (Lux #1),14.86,In stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock
First and First (Five Boroughs #3),15.97,In stock
Camp Midnight,17.08,In stock
A Murder in Time,16.64,In stock
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,In stock
The Stranger,17.44,In stock
The Project,10.65,In stock
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,In stock
The Genius of Birds,17.24,In stock
The Argonauts,10.93,In stock
Something More Than This,16.24,In stock
So You've Been Publicly Shamed,12.23,In stock
Poems That Make Grown Women Cry,14.19,In stock
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,In stock
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock
Little Red,13.47,In stock
Large Print Heart of the Pride,19.15,In stock
Dark Notes,19.19,In stock
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,In stock
Beauty Restored (Riley Family Legacy Novellas #3),11.11,In stock
Batman: The Dark Knight Returns (Batman),15.38,In stock
Ayumi's Violin,15.48,In stock
Amy Meets the Saints and Sages,18.46,In stock
Agnostic: A Spirited Manifesto,12.51,In stock
Wild Swans,14.36,In stock
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,In stock
Walt Disney's Alice in Wonderland,12.96,In stock
The Power of Habit: Why We Do What We Do in Life and Business,16.88,In stock
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,In stock
The Literature Book (Big Ideas Simply Explained),17.43,In stock
The Guilty (Will Robie #4),13.82,In stock
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,In stock
That Darkness (Gardiner and Renner #1),13.92,In stock
Tastes Like Fear (DI Marnie Rome #3),10.69,In stock
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,In stock
Pet Sematary,10.56,In stock
Once Was a Time,18.28,In stock
Old School (Diary of a Wimpy Kid #10),11.83,In stock
Love Is a Mix Tape (Music #1),18.03,In stock
Lady Midnight (The Dark Artifices #1),16.28,In stock
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,In stock
I Am Pilgrim (Pilgrim #1),10.6,In stock
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,In stock
Greek Mythic History,10.23,In stock
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,In stock
Eight Hundred Grapes,14.39,In stock
Dear Mr. Knightley,11.21,In stock
City of Fallen Angels (The Mortal Instruments #4),11.23,In stock
Balloon Animals,17.03,In stock
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,In stock
A Study in Scarlet (Sherlock Holmes #1),16.73,In stock
A Distant Mirror: The Calamitous 14th Century,14.58,In stock
"The Three Searches, Meaning, and the Story",13.33,In stock
My Kitchen Year: 136 Recipes That Saved My Life,11.53,In stock
Will You Won't You Want Me?,13.86,In stock
The Epidemic (The Program 0.6),14.44,In stock
The Children,11.88,In stock
One with You (Crossfire #5),15.71,In stock
Hide Away (Eve Duncan #20),11.84,In stock
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,In stock
Playing with Fire,13.71,In stock
Mothering Sunday,13.34,In stock
"Mother, Can You Not?",16.89,In stock
Lilac Girls,17.28,In stock
Daredevils,16.34,In stock
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,In stock
A Gentleman's Position (Society of Gentlemen #3),14.75,In stock
Underlying Notes,11.82,In stock
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,In stock
The Flowers Lied,16.68,In stock
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,In stock
Why Not Me?,17.76,In stock
Roller Girl,14.1,In stock
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,In stock
History of Beauty,10.29,In stock
Brilliant Beacons: A History of the American Lighthouse,11.45,In stock
Brazen: The Courage to Find the You That's Been Hiding,19.22,In stock
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,In stock
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,In stock
The Origin of Species,10.01,In stock
The Glass Castle,16.24,In stock
The Constant Princess (The Tudor Court #1),16.62,In stock
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,In stock
Life of Pi,13.22,In stock
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,In stock
Every Heart a Doorway (Every Heart A Doorway #1),12.16,In stock
Counted With the Stars (Out from Egypt #1),17.97,In stock
The Hobbit (Middle-Earth Universe),17.8,In stock
The Golden Compass (His Dark Materials #1),18.77,In stock
The Girl You Left Behind (The Girl You Left Behind #1),15.79,In stock
The Fellowship of the Ring (The Lord of the Rings #1),10.27,In stock
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,In stock
Pride and Prejudice,19.27,In stock
Me Before You (Me Before You #1),19.02,In stock
Give It Back,18.32,In stock
Two Summers,14.64,In stock
The Secret Garden,15.08,In stock
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,In stock
The Grand Design,13.76,In stock
The Darkest Corners,11.33,In stock
The 5th Wave (The 5th Wave #1),11.83,In stock
Shiver (The Wolves of Mercy Falls #1),16.23,In stock
Remember Me?,11.48,In stock
Peak: Secrets from the New Science of Expertise,16.28,In stock
Logan Kade (Fallen Crest High #5.5),13.12,In stock
Kill the Boy Band,15.52,In stock
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,In stock
Fool Me Once,16.96,In stock
Booked,17.49,In stock
An Abundance of Katherines,10.0,In stock
A Feast for Crows (A Song of Ice and Fire #4),17.21,In stock
A Clash of Kings (A Song of Ice and Fire #2),10.79,In stock
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,In stock
The Gunning of America: Business and the Making of American Gun Culture,16.81,In stock
Some Women,13.73,In stock
Outlander (Outlander #1),19.67,In stock
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,In stock
Night Shift (Night Shift #1-20),12.75,In stock
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,In stock
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,In stock
Dark Lover (Black Dagger Brotherhood #1),12.87,In stock
Changing the Game (Play by Play #2),13.38,In stock
Wuthering Heights,17.73,In stock
"Where'd You Go, Bernadette",18.13,In stock
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,In stock
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,In stock
The Travelers,15.77,In stock
The Tipping Point: How Little Things Can Make a Big Difference,10.02,In stock
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,In stock
The Purest Hook (Second Circle Tattoos #3),12.25,In stock
The Guns of August,14.54,In stock
The Giver (The Giver Quartet #1),12.3,In stock
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,In stock
The Cuckoo's Calling (Cormoran Strike #1),19.21,In stock
The Cat in the Hat (Beginner Books B-1),16.26,In stock
Scarlet (The Lunar Chronicles #2),14.57,In stock
Running with Scissors,12.91,In stock
Reservations for Two,11.1,In stock
Ready Player One,19.07,In stock
Outliers: The Story of Success,14.16,In stock
Night (The Night Trilogy #1),13.51,In stock
Lust & Wonder,11.87,In stock
Lila (Gilead #3),12.47,In stock
I've Got Your Number,19.69,In stock
Green Eggs and Ham (Beginner Books B-16),10.79,In stock
Fifty Shades Freed (Fifty Shades #3),15.36,In stock
Eclipse (Twilight #3),18.74,In stock
Disrupted: My Misadventure in the Start-Up Bubble,15.28,In stock
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,In stock
Counting Thyme,10.62,In stock
Are We There Yet?,10.66,In stock
A Visit from the Goon Squad,14.08,In stock
"The Suffragettes (Little Black Classics, #96)",11.89,In stock
The Course of Love,16.78,In stock
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,In stock
New Moon (Twilight #2),12.86,In stock
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,In stock
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,In stock
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,In stock
The Zombie Room,19.69,In stock
The Silent Wife,12.34,In stock
The Iliad,16.16,In stock
The Girl You Lost,12.29,In stock
The Girl In The Ice (DCI Erika Foster #1),15.85,In stock
The End of the Jesus Era (An Investigation #1),14.4,In stock
The Edge of Reason (Bridget Jones #2),19.18,In stock
The Complete Maus (Maus #1-2),10.64,In stock
The Communist Manifesto,14.76,In stock
Taking Shots (Assassins #1),18.88,In stock
Sister Sable (The Mad Queen #1),13.33,In stock
A Spy's Devotion (The Regency Spies of London #1),16.97,In stock
